Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1 uF,C_0603_1608Metric,115.4977,-130.92117,-90.0,top
C11,10 uF,C_0805_2012Metric,172.5602,-96.107928,90.0,top
C12,22 uF,C_0805_2012Metric,179.198169,-100.365873,0.0,top
C13,0.1 uF,C_0603_1608Metric,122.993794,-74.314047,90.0,top
C2,0.1 uF,C_0603_1608Metric,177.439106,-92.003773,90.0,top
C3,0.1 uF,C_0603_1608Metric,168.325825,-115.160759,0.0,top
C4,0.1 uF,C_0603_1608Metric,169.509419,-129.705645,0.0,top
C5,0.1 uF,C_0603_1608Metric,141.931294,-130.92117,-90.0,top
C6,0.1 uF,C_0603_1608Metric,126.939106,-130.13496,-90.0,top
C7,0.1 uF,C_0603_1608Metric,98.532856,-118.341809,90.0,top
C8,0.1 uF,C_0603_1608Metric,158.462544,-128.919435,0.0,top
C9,0.1 uF,C_0603_1608Metric,181.345356,-115.553864,0.0,top
D2,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,123.469263,-91.771033,-90.0,top
D3,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,153.059106,-91.771033,-90.0,top
D4,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,167.357856,-100.243293,180.0,top
D5,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,116.3677,-92.164138,-90.0,top
D6,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,143.984888,-91.771033,-90.0,top
D7,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,130.176294,-96.488293,-90.0,top
D8,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,111.238794,-96.488293,-90.0,top
D9,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,157.889106,-81.269937,0.0,top
GND1,Conn_01x05_Pin,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,129.191898,-67.383681,0.0,top
J1,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,104.27,-94.85,0.0,top
J10,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,103.77,-107.9,0.0,top
J11,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,172.62395,-79.542406,90.0,top
J12,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,172.29,-121.4,0.0,top
J13,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,145.79,-121.4,0.0,top
J14,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,132.79,-121.4,0.0,top
J15,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,106.79,-121.4,0.0,top
J16,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,158.9725,-121.35,0.0,top
J17,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,185.79,-107.9,0.0,top
J18,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,119.79,-121.4,0.0,top
J2,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,172.4725,-107.85,0.0,top
J3,Conn_01x03_Pin,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,185.79,-121.4,0.0,top
J4,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,122.4725,-107.85,0.0,top
J5,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,151.27,-107.9,0.0,top
J6,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,160.77,-107.9,0.0,top
J7,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,113.27,-107.9,0.0,top
J8,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,141.77,-107.9,0.0,top
J9,Conn_01x02_Pin,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,131.9725,-107.85,0.0,top
L1,2.2 uH,L_6.3x6.3_H3,182.476294,-94.844138,90.0,top
Q10,S8050,TO-92_Inline,127.360981,-73.457152,180.0,top
Q11,S8050,TO-92_Inline,133.673481,-73.457152,180.0,top
Q2,AO3400A,SOT-23,125.771919,-100.825188,180.0,top
Q3,AO3400A,SOT-23,145.663013,-100.988293,-90.0,top
Q4,AO3400A,SOT-23,160.490669,-95.714823,180.0,top
Q5,AO3400A,SOT-23,115.514106,-101.218293,0.0,top
Q6,AO3400A,SOT-23,138.396919,-101.218293,180.0,top
Q7,AO3400A,SOT-23,134.451606,-98.073453,180.0,top
Q8,AO3400A,SOT-23,100.291919,-88.015827,-90.0,top
Q9,AO3400A,SOT-23,165.784106,-71.112311,-90.0,top
R1,10K,R_0603_1608Metric,164.380513,-115.160759,180.0,top
R10,100K,R_0603_1608Metric,119.837544,-96.721033,90.0,top
R11,100,R_0603_1608Metric,119.837544,-92.789983,90.0,top
R12,100K,R_0603_1608Metric,137.985981,-93.969298,90.0,top
R13,100,R_0603_1608Metric,140.353169,-91.610668,90.0,top
R14,100K,R_0603_1608Metric,134.001606,-102.188293,0.0,top
R15,100,R_0603_1608Metric,134.4352,-91.175,90.0,top
R16,100K,R_0603_1608Metric,102.478169,-83.748567,90.0,top
R17,100,R_0603_1608Metric,106.818013,-78.638202,-90.0,top
R18,100K,R_0603_1608Metric,159.6852,-70.382996,90.0,top
R19,100,R_0603_1608Metric,164.775044,-75.457152,0.0,top
R20,10K,R_0603_1608Metric,173.493794,-129.34875,-90.0,top
R21,10K,R_0603_1608Metric,145.048481,-128.52633,0.0,top
R22,10K,R_0603_1608Metric,131.239888,-128.919435,0.0,top
R23,10K,R_0603_1608Metric,97.349263,-111.265919,90.0,top
R24,10K,R_0603_1608Metric,158.068013,-115.553864,0.0,top
R25,10K,R_0603_1608Metric,183.318013,-102.188293,180.0,top
R26,10K,R_0603_1608Metric,111.552388,-129.34875,90.0,top
R27,100K,R_0603_1608Metric,175.071919,-92.003773,90.0,top
R28,10K,R_0603_1608Metric,125.71645,-78.995097,180.0,top
R29,10K,R_0603_1608Metric,134.001606,-62.091581,0.0,top
R30,10K,R_0603_1608Metric,120.626606,-74.707152,90.0,top
R31,10K,R_0603_1608Metric,132.423481,-77.815782,0.0,top
R4,100K,R_0603_1608Metric,122.5602,-83.712357,0.0,top
R5,100,R_0603_1608Metric,126.544575,-92.396878,90.0,top
R6,100K,R_0603_1608Metric,149.821919,-89.645142,-90.0,top
R7,100,R_0603_1608Metric,152.544575,-99.829663,0.0,top
R8,100K,R_0603_1608Metric,158.896138,-101.045188,90.0,top
R9,100,R_0603_1608Metric,158.068013,-89.215827,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,148.35,-65.81,0.0,top
U2,TPS62162DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,176.084751,-96.765348,90.0,top
